review_id,author,rating,time,text
Ci9DQUlRQUNvZENodHljRjlvT2pkdFRsYzNkMDlTUTJGaGJ6QkNkUzFoYzJGU2MxRRAB,Lăng Nguyễn Đức Đinh,5,4 months ago,"The gym is great, the space is clean, and the equipment is complete, from the weight racks to the cardio machines, everything is good. The trainers are enthusiastic, especially Ms. Phuong; she's super energetic. If you need to ask anything about technique or reps, she'll guide you thoroughly. Overall, it's a place worth sticking with long-term to improve your body."
Ci9DQUlRQUNvZENodHljRjlvT2kxSmRrOURRamxXZGtOQmIxVTFRWFZUVUZGNlRGRRAB,Heji Ha,5,3 months ago,"The service was excellent. Ms. Phuong provided very thorough advice, so I immediately booked the 12-month package."
Ci9DQUlRQUNvZENodHljRjlvT25Sc2N6UlZUbEIyV1hGNVIxcGFNRFZ0UlZOdVJXYxAB,Alex Nguyễn,5,4 months ago,"The gym is spacious and air-conditioned, with full boxing equipment. The personal trainers are highly qualified."
Ci9DQUlRQUNvZENodHljRjlvT200d01GbExjVkJ0VGtKU1pWbHpTVXcxU2tNdFZrRRAB,Hiếu Trương Trọng,5,a month ago,"The gym is clean, and the staff are very friendly, which enhances the motivation to work out."
Ci9DQUlRQUNvZENodHljRjlvT2pWdlpFbFJibWxTTkV0Nk5qRkhTMXAyVFc1NFpGRRAB,Phương Anh Hoàng,5,3 months ago,"The space is nice, I signed up for a 12-month package, Ms. Phuong, the sales representative, was lovely and provided enthusiastic support."
Ci9DQUlRQUNvZENodHljRjlvT21oNFNsaHVXbTAzU21SV2NsOW1NRGswVmt4TVUzYxAB,Thư Minh,5,9 months ago,"The gym is spacious, airy, clean, fragrant, the staff is enthusiastic, comfortable, the trainers are cute and enthusiastic. Overall, it's ok, lovely, worth practicing."
Ci9DQUlRQUNvZENodHljRjlvT2paeFRsa3pablp5WHpkTFgzSkhWMUZJV21zMVluYxAB,Long Trần,5,9 months ago,"The waiting area is spacious and air-conditioned, with free showers, a sauna, lovely personal trainers, a relaxed atmosphere, and friendly, enthusiastic staff."
Ci9DQUlRQUNvZENodHljRjlvT21kcFFrTmFla3BCU0UwM1JETmpOM0pET1dSdFgxRRAB,Tô Huỳnh Phúc Lâm,5,4 months ago,"The gym is spacious and airy, not too crowded, perfect for office workers. I think the prices are reasonable, and they even have a monthly installment plan. Ms. Phuong provides excellent support. Highly recommend!"
Ci9DQUlRQUNvZENodHljRjlvT2taQ1kzcEJUekJxV0hWQlJHWmphM0JZVUdFMVpGRRAB,Linh Phạm,5,3 months ago,"The gym is beautiful and spacious, with plenty of equipment. PT Minh is enthusiastic, attentive, and super cute. Consultant Tram is lovely, meticulous, and beautiful (you should definitely visit). … More"
Ci9DQUlRQUNvZENodHljRjlvT2xVeGEwUmFRVk5UTkhSaWRqVnpYMU0yUVZOTFZHYxAB,Thanh Mai Hoàng,5,9 months ago,"Nice room, tidy, with all necessary equipment. PT is friendly and very cute, 10 points"
Ci9DQUlRQUNvZENodHljRjlvT21GT1MwdzRTblUxUkV4dFZVMXlUR0o2ZVRCbVdIYxAB,Huyền Ngọc,5,8 months ago,"The gym has a variety of machines and weights, restrooms, showers, a sauna, and even individual lockers. The room is super clean and smells nice, not at all stuffy, and the price is reasonable."
ChdDSUhNMG9nS0VJQ0FnTURJd0lMeHhnRRAB,Ame Linda,5,a year ago,"I'm quite picky when choosing a gym in Ho Chi Minh City. However, after researching and training at The Shine, I found the space and the people here very friendly. The personal trainer, Mr. Thai, is very professional, plans workouts systematically, and is dedicated to his clients. It's not a perfect 10, but I'd give it a great rating!"
ChZDSUhNMG9nS0VJQ0FnTURRcWZQTmJBEAE,Laii Nguyn Thanh,5,a year ago,"Clean, air-conditioned, with a good selection of exercise equipment and divided into several private rooms 👏 Ms. Phuong was very enthusiastic in her guidance. …"
ChZDSUhNMG9nS0VJQ0FnTURvX3FidmVnEAE,Chí Hùng Nguyễn,5,a year ago,"After two weeks of working out at this gym, here are my observations:
- The staff are very friendly and lovely. Especially Tram in the picture! … More"
ChZDSUhNMG9nS0VPZjNoWmJPcDlpcEZBEAE,Minh Do,5,a year ago,"The gym isn't huge, but it always has machines to use, the space is clean and airy, and there's free water and a sauna. It's great for the price."
Ci9DQUlRQUNvZENodHljRjlvT2pGaU0yWTJlbFpQY1VWNFkyZHlWVVZMTTNCMVZFRRAB,Bảo Ngọc,5,11 months ago,The gym is clean and spacious. PT Tony provides enthusiastic and highly professional support.
Ci9DQUlRQUNvZENodHljRjlvT21OZlZXMWtiVTl3TlRNMFVYVldjalJpTUZCbGVIYxAB,Nhân Đinh,5,a year ago,"The gym is clean, air-conditioned, the personal trainers are enthusiastic, and there's free water, sauna, and showers. I train in the morning and there aren't many people; I don't know if it will be crowded in the evening."
Ci9DQUlRQUNvZENodHljRjlvT25GdE9VOTBXa3gzU1VaMmFGVnJUMUJFVm5KNlVtYxAB,Long Dương Duy,5,a year ago,"The gym is spacious and airy, with many rooms for different functions.
I can work out comfortably during the morning hours. No need to wait for the machines. The personal trainers are knowledgeable and don't pressure customers."
Ci9DQUlRQUNvZENodHljRjlvT214cU5rSnphbVE0WDBaTFNHVnFibm8xVVhWWlpWRRAB,jjuly17,5,9 months ago,"The gym is spacious, has a wide variety of machines, and the staff are super friendly ❤️‍🔥. …"
Ci9DQUlRQUNvZENodHljRjlvT2xZd1NVSlNhazVDU0d4aVgwaFBOMlpoVEhKcFJuYxAB,Thai Hoang,5,7 months ago,"The gym is clean, spacious, and has a full range of different machines. The staff here are friendly and enthusiastic."
ChZDSUhNMG9nS0VPcWEyTXl1LUt5V05REAE,Anh Thư Nguyễn,5,a year ago,"After two training sessions, I found the place quite clean, spacious, air-conditioned, with separate training zones, a sauna, and a reasonable price for the facilities. It was also quite quiet when I went between 11 am and 2 pm. The receptionist, Ms. Phuong, and the personal trainer, Mr. Thai, were very helpful and enthusiastic 🥳 …"
Ci9DQUlRQUNvZENodHljRjlvT2xSMU9YUTBURmRqYVUxbVVsRTVUbWhoYTBwV09WRRAB,Sơn Đỗ Bá,5,8 months ago,"The gym is clean, airy, has few people working out, and the personal trainer is very enthusiastic."
Ci9DQUlRQUNvZENodHljRjlvT2xkYWMyUnhPVFpEUVRWVlp6STVNRnBTUW1WNE9VRRAB,Hòa Trần Thái,5,a year ago,"The gym is clean and airy. The staff are friendly, and the trainers are very helpful, making the workout experience very comfortable."
Ci9DQUlRQUNvZENodHljRjlvT21oZmMySTNSM1ZGYkZCWVRubHZhV3R2WTAxeU5uYxAB,Phương Nhi,5,a year ago,"The rooms are clean, airy, and regularly cleaned.
Everyone here is very friendly, easy-going, and sociable. Ms. Tram is very helpful.
The personal trainers, especially PT Jackson, are very enthusiastic."
Ci9DQUlRQUNvZENodHljRjlvT205amVVNTFUSE4zWkVWdFdXOUlXbk5mV0d0NE5rRRAB,Thắm Nguyễn Thị,5,a year ago,"The space is spacious, and the receptionist and personal trainer are very enthusiastic! 🌷 Excellent service, everyone should try it out! …"
Ci9DQUlRQUNvZENodHljRjlvT25ObVgwSktTbDh6UlRaa1pXVmtNelF0VXpkTGVWRRAB,LE VAN LUAN,5,a year ago,"After going to this gym, I just want to keep working out forever! 😍 The machines are clean, the air is pleasant, and I get to listen to chill music. The personal trainers are both enthusiastic and funny; I feel tired but happy after my workout. …"
Ci9DQUlRQUNvZENodHljRjlvT21jME5VRm1SRWxZT0VGNlFUTlFNMlU1U0c1dGNrRRAB,Kiet Pham,5,a month ago,I need to sell my gym membership which has 8 months left. The gym is very clean and spacious.
ChZDSUhNMG9nS0VJQ0FnTUNJa05DQU9REAE,Loan Nguyen,5,a year ago,"The training area is clearly divided into zones, spacious, and well-equipped. The changing rooms are large, clean, and smell nice. The personal trainers are professional, enthusiastic, and always ready to assist. The receptionist and security guard are friendly and lovely. There's no perfect 10/10, but 🤟 …"
Ci9DQUlRQUNvZENodHljRjlvT2xWelRUaFJkMlZTWDI5WUxXZHhiWEYzVTNWa1FXYxAB,Nguyễn Thị Hồng Hạnh,5,a year ago,The gym and yoga studio is clean and smells nice. Anyone living near Hoang Hoa Tham Street in Tan Binh District who doesn't want to travel far should stop by and try it out.
Ci9DQUlRQUNvZENodHljRjlvT2xCRmJXdGhjVWxmVG1zMGRWZFVjMnRVWDBSR2QwRRAB,Gia Huy Nguyễn,5,4 months ago,"This room is spacious and comfortable, the service is good, Ms. Tram is lovely, friendly and provides enthusiastic advice. 10/10 service."
ChdDSUhNMG9nS0VJQ0FnSURYczkyZndnRRAB,Nguyễn Trương Tấn Lộc (3120410293),5,Edited a year ago,"- Clean and spacious gym
- Modern and complete exercise equipment
- Excellent service, including towels, lockers, showers, etc. 5 stars … More"
Ci9DQUlRQUNvZENodHljRjlvT25GWldGbHFiWFY1ZURGeldVbExVbGxpVWtkMmJtYxAB,Phương Anh,5,11 months ago,"The gym is spacious and airy, with many rooms serving different functions.

I recommend everyone work out here!"
Ci9DQUlRQUNvZENodHljRjlvT25SeU5tMWpaM05yVUVGRWNraFhVVEEwWkUxQmRtYxAB,thanh kim,5,9 months ago,"Clean room, staff are very enthusiastic, especially Ms. Phuong Phuong, the gym is very satisfactory and reasonable in price"
ChdDSUhNMG9nS0VJQ0FnTURJN2F2MTJBRRAB,Tôn Nguyễn (Karl Marxx),5,a year ago,"The gym is great, the trainers are enthusiastic, and the staff are friendly, especially Ms. Tram."
Ci9DQUlRQUNvZENodHljRjlvT210clJtVjZTVnBUZGs5ck9XaDRiVFJWV21rNVowRRAB,Đạt Phạm,5,9 months ago,"The gym is clean, and the service is great! 5 stars! ❤️"
ChZDSUhNMG9nS0VJQ0FnTUNvME9DaERBEAE,sang ngo,5,a year ago,"The gym isn't huge, but it's not crowded, there are always machines available, the space is clean and airy, and there's free water and a sauna. It's great for the price."
ChdDSUhNMG9nS0VOX2JyYTJDbjk3bF93RRAB,Hồng Gia Hân,5,a year ago,"The gym is fantastic! Modern equipment, clean, enthusiastic trainers, and a spacious environment. Very satisfied, 5 stars!"
ChZDSUhNMG9nS0VQcTY4dHp3enRuNVp3EAE,Nguyễn Lâm Ngọc Trang,5,Edited a year ago,"The gym is clean, the equipment is brand new, the staff are super friendly and enthusiastic, and the personal trainers are incredibly attentive. I've only been training with Hoang Thinh for two months and my physique has changed noticeably 😝😝😝. Let's all work out to get fit and beautiful! …"
ChdDSUhNMG9nS0VMX0hxcldDdExQbjhnRRAB,Tình Nguyen,5,a year ago,"The gym is airy, the staff and PTs are enthusiastic in teaching. The toilet is clean and comfortable, there is a bathroom and a comfortable sauna. It's great ❤️"
ChdDSUhNMG9nS0VJNkx0NGFWLUtlYnBnRRAB,duyhai hong,5,a year ago,"The Shine Fitness and Yoga is truly a high-quality gym and deserves every star in this review! Since I started training here, I've felt a noticeable positive change not only in my physical health but also in my mental well-being.
Modern and top-notch facilities: The gym is fully equipped with a variety of modern machines, from weight training areas, treadmills, and stationary bikes to specialized equipment for each muscle group. Everything is kept clean and organized scientifically, creating a comfortable and inspiring training space. In particular, the yoga room is very spacious and airy, providing a feeling of absolute relaxation.
Professional and dedicated trainers: This is the brightest point of The Shine. The personal trainers (PTs) here not only have extensive professional knowledge but are also extremely enthusiastic, dedicated, and always listen to the needs of their members. They are always ready to guide, correct movements, and offer helpful advice to achieve personal goals. The professionalism and friendliness of the team have greatly motivated me throughout my training. A big thank you to Vinh (Jackson) for his dedicated guidance.

Energetic training environment: The atmosphere at The Shine is always full of positive energy. From the friendly and welcoming reception staff to the fellow trainees, everything creates a civilized and comfortable environment. I always feel welcome and motivated to come to the gym every day.

Outstanding amenities: In addition to the main training area, The Shine also has clean changing rooms, secure lockers, and convenient showers. These are small details, but they demonstrate professionalism and care for the customer experience.

In short, The Shine Fitness and Yoga is not just an ordinary gym, but a holistic wellness center where you can find motivation, joy, and achieve your physical and mental goals. I will definitely continue to support The Shine and confidently recommend it to anyone seeking a high-quality training facility. Come and experience it for yourself; you won't be disappointed!"
ChdDSUhNMG9nS0VJQ0FnSUNmdElYZGhnRRAB,Luân Nguyễn,5,a year ago,"The service is good, the facilities are nice, there's a sauna, it's clean, the price is reasonable, the rooms are divided evenly so it's not crowded, and the personal trainers are enthusiastic."
Ci9DQUlRQUNvZENodHljRjlvT25oS2ExcFFZMUpXYjBobWNTMDVXVkJ3T0VoTFIxRRAB,Kami,5,6 months ago,The space is comfortable and nice. The exercise equipment is good.
ChZDSUhNMG9nS0VJQ0FnSUNMOXJDUWVBEAE,Hạnh Nguyễn,5,2 years ago,"The gym is spacious, clean, and offers privacy. Highly recommended for everyone living near this area to work out! ❤️❤️❤️"
Ci9DQUlRQUNvZENodHljRjlvT25wdlF6WlNUVVJETkRWNFdreHBjazVhT0dWb1gzYxAB,Khanh Quynh Tran Vu,5,a year ago,"The gym is good, the equipment is new, it's clean, and it has all the basic amenities like water and towels."
ChdDSUhNMG9nS0VJQ0FnTUNRaF9pVC1nRRAB,Loc Le,5,a year ago,"The gym is clean, well-equipped, and has a sauna. The personal trainers are friendly, cheerful, and enthusiastic. The prices are very reasonable."
Ci9DQUlRQUNvZENodHljRjlvT2xOSFZXRnJOVU0xTkVJM2JGRTBUVGx2TmtkSFNsRRAB,Nguyễn Thị Thanh Ngân,5,a year ago,The gym is clean and has plenty of exercise equipment. You should definitely try it!
ChZDSUhNMG9nS0VJQ0FnSUR2OXZXZFBBEAE,Quang Trong Tran,5,a year ago,"The gym is cool, clean, smells nice, and has complete equipment. There are many rooms divided into different areas for training, so it's not crowded."
Ci9DQUlRQUNvZENodHljRjlvT2tKSGJsTlZjbk4yVVRJdFRYaHhVRmhZVEdOeE1rRRAB,Khoa Đăng,5,a year ago,"Excellent, the room was fully equipped and clean. The receptionist, Bich Tram, was friendly and helpful."
ChdDSUhNMG9nS0VJQ0FnTUNRdE0yUzRRRRAB,Phú Thịnh,5,a year ago,"The gym is spacious and airy, the consultant is lovely and friendly, and the prices are reasonable, so everyone should try it! 😆😆😆 …"
ChZDSUhNMG9nS0VJQ0FnTURJMy1lQ2RREAE,Sơn Nam Trần,5,a year ago,"The room is fully equipped, fragrant, the staff Tram is cheerful, enthusiastic and cute."
ChZDSUhNMG9nS0VJakp2UDJfa3YyRlNREAE,Thuy Thuy,5,a year ago,"The gym is spacious and airy, and the receptionists and trainers are friendly and enthusiastic. 10/10 for the service here."
ChZDSUhNMG9nS0VJQ0FnSUNmamZpZlFREAE,Ngân Nguyễn,5,a year ago,"The gym is new, clean, high-quality, and comfortable to work out in. It combines yoga and gym exercises, which is super convenient. Ms. Tram also provided enthusiastic advice and support. I highly recommend it to everyone 😊 …"
ChZDSUhNMG9nS0VJQ0FnSUNmdE1iUFN3EAE,Vỹ Lâm,5,a year ago,"The gym is fully equipped (air conditioning, sauna, etc.), and the staff are enthusiastic and helpful."
Ci9DQUlRQUNvZENodHljRjlvT21aMVpsbFZiR3huVWxnelJVcGpXazB3YlVkZlIwRRAB,Sang Thanh,5,8 months ago,"Spacious, modern equipment, multiple training levels."
Ci9DQUlRQUNvZENodHljRjlvT2xaSFZtMVpPVE5LU3prM1dHTmxXRVJGUTJ0MVJXYxAB,Đức Huy Phan,5,a year ago,"The gym is very clean, air-conditioned, and provides a cool and comfortable environment. The equipment is complete and modern. The trainers are enthusiastic, highly professional, provide detailed instructions, and are always supportive of the trainees."
Ci9DQUlRQUNvZENodHljRjlvT21wZlMxbGtXSHBGY0VoNFQxRklNRU5GVFhwSExWRRAB,Bảo Trân Võ Huỳnh,5,a year ago,"The hotel is spacious, has three floors, is clean, and the receptionist is lovely."
ChZDSUhNMG9nS0VJQ0FnTUR3MjdDLUtnEAE,Ngọc Ánh,5,a year ago,"The gym is clean and beautiful, with convenient facilities for both gym and yoga. The yoga instructor is lovely, and the personal trainer, Tony, is handsome."
ChdDSUhNMG9nS0VMbW16SnpsbllUNWdBRRAB,Nhung Nguyen Phi,5,a year ago,"Spacious, comfortable & fully equipped gym"
ChZDSUhNMG9nS0VJQ0FnTUNva092eVdREAE,Hiếu Nguyễn,5,a year ago,"The gym is cool, well-equipped, the staff are friendly, and the prices are reasonable."
Ci9DQUlRQUNvZENodHljRjlvT25WVGNpMXBVMVZsYlZwMGFHZGtRMVV5VnpCeVRHYxAB,Nhat Nguyen,5,6 months ago,The room is clean and airy.
ChdDSUhNMG9nS0VJQ0FnSUN6MTUzN3lRRRAB,Phúc Lê Hoàng,5,2 years ago,"The rooms are quite spacious and comfortable, the service is good, and the price is reasonable... a great choice for everyone!"
ChZDSUhNMG9nS0VJQ0FnSURueWN1MVVnEAE,Thanh Nguyễn,5,a year ago,"The gym is high quality.
The staff are very helpful and enthusiastic.
The personal trainers are especially professional. … More"
Ci9DQUlRQUNvZENodHljRjlvT2prNE5WZEJUazl4VERKb1ZEWmhRMmswVVVkV1RHYxAB,ABBOTT MBB,5,a year ago,"The three-story gym always has machines to use, the space is clean and airy, with free water and towels, and a sauna. Absolutely fantastic. I especially liked Bich Tram at the reception desk."
ChdDSUhNMG9nS0VJQ0FnTUNJenZEVHpBRRAB,Văn Minh Hưng,5,a year ago,"- The gym is clean and spacious.
- The exercise equipment is modern and complete."
Ci9DQUlRQUNvZENodHljRjlvT2pCd2VrTlhieTE2Vkc1eU1FdzNiREpmUldGMllWRRAB,Huyền Ngọc,5,a year ago,"The gym is clean and airy. The staff is friendly and sociable, the trainer is enthusiastic, so I feel very comfortable and happy when I come to practice. ❤️"
Ci9DQUlRQUNvZENodHljRjlvT2xsb09FNURNVVU1ZEhoWVgyaG5SMXBQZW1wdGFYYxAB,manh le,5,a year ago,"I've been working out for over a month, and I feel like I'm starting to build muscle. The gym is spacious and clean; my only fear is running into someone with body odor, otherwise I'd have to quit and go home that day."
ChdDSUhNMG9nS0VMYXVnY0tobnRmdDlBRRAB,Nhân trọng,5,a year ago,"The gym is good, clean, and the environment is friendly, making it a great place for everyone to work out."
Ci9DQUlRQUNvZENodHljRjlvT2xCZk0zcE5TMjVJVFUwM01sRmZlak5EY0V4dWNIYxAB,Đông Ngân Phạm Hoàng,5,a year ago,"The gym is spacious, air-conditioned, and equipped with a variety of exercise machines. The consultants and instructors are all very enthusiastic and friendly!"
Ci9DQUlRQUNvZENodHljRjlvT2pScFdVaDJlbTlWUkdjNFVIWlZhelJqTjB4UU1YYxAB,Trung Hau Phan,5,a year ago,"The gym is clean, spacious, and fully equipped (air conditioning, towels, sauna).

The staff and personal trainers are enthusiastic and friendly."
Ci9DQUlRQUNvZENodHljRjlvT2xCWFdYUlNUVEpPWm5SdVRVbEJWM2xrVjB4c1pFRRAB,Uyên Thư,5,11 months ago,"The gym is spacious, clean, and equipped with modern facilities. In particular, Mr. Thai – the personal trainer – is very enthusiastic, always closely monitoring and providing detailed, easy-to-understand instructions, helping me to use the … More"
ChdDSUhNMG9nS0VPZlNtb1daMXRfaThBRRAB,Thịnh Đặng,5,a year ago,"The gym is clean, and the staff (personal trainers, receptionists) are enthusiastic. Free water and towels are provided."
ChdDSUhNMG9nS0VJQ0FnSUQzMEt5azB3RRAB,Huy Nguyễn Hữu Đoàn,5,a year ago,"The gym is good, with decent equipment, heavy weights, and good quality. The service is also good."
Ci9DQUlRQUNvZENodHljRjlvT2xkTWFHTlBhR1EzY0RKSU1tUm9hREpOVTAxSVZIYxAB,Phương Nguyễn,5,a year ago,"The gym is clean and the equipment is relatively good. The air-conditioned room is cool, and you can lay down a mat and take a nap after a tiring workout. The rooftop has an area for light cardio and boxing."
ChdDSUhNMG9nS0VKeTB1OXU4b2ZtMDVBRRAB,Nguyen Giang,5,a year ago,"The facilities are good, the rooms are clean, the equipment is new, and the staff are enthusiastic and friendly."
ChdDSUhNMG9nS0VJQ0FnTUR3bTVPeV9RRRAB,Nhung Lê Thị Hồng,5,a year ago,"The gym is good, high-quality, and the instructors are enthusiastic. It's affordable but very good."
ChZDSUhNMG9nS0VQTHdxOVgtdWVyRkJnEAE,Duy Tấn Võ,5,a year ago,"This place is great for working out, the staff and personal trainers are enthusiastic and friendly."
Ci9DQUlRQUNvZENodHljRjlvT21reFltRTFRbXREVm10MlUydHZkbnBEYlRjMGRXYxAB,Tuyen Dang,5,9 months ago,"The gym has just the right amount of equipment, and PT Tuyen is enthusiastic and friendly. Plus, the music is great."
ChZDSUhNMG9nS0VJQ0FnSURubFBYcE53EAE,Hữu Nguyễn Văn,5,a year ago,"The service is good, the facilities are nice, there's a sauna, it's clean, and the price is reasonable."
ChdDSUhNMG9nS0VJQ0FnSUQzOEpxMmhBRRAB,Hưng Đỗ Huy,5,a year ago,The gym is new and clean. Great workout. The security guard is lovely. The consultant is very helpful.
Ci9DQUlRQUNvZENodHljRjlvT25GNE5FSkNTa053YUhSdU9WUXllbmsyU25Sa1JFRRAB,Ngà Hồ,5,a year ago,"The staff here are very friendly; if you don't know how to do any exercises, just ask them – they're happy to help for free. Another plus is the gym is clean and spacious. You should definitely sign up!"
Ci9DQUlRQUNvZENodHljRjlvT25KUFJXMHRSRk14Wm1aSFpGOVNNM1I0VkdoU1JuYxAB,Phát Phan,5,a year ago,"The gym is clean, spacious, and well-equipped. The personal trainer is enthusiastic and dedicated."
ChZDSUhNMG9nS0VJQ0FnTUNvaWN6VERREAE,Nguyễn Lam Hà,5,a year ago,The gym is clean and all the machines are brand new. Phuong and Tram are very helpful and supportive. 💯💯 …
ChdDSUhNMG9nS0VKQ3ltdFRveDRlQTJ3RRAB,Lệ Quyên,5,a year ago,"The staff are very friendly and helpful, the gym is spacious and air-conditioned, and has lots of high-quality exercise equipment. Highly recommend it to everyone! ❤️‍🔥 …"
ChZDSUhNMG9nS0VJQ0FnTURJbjRMd0dBEAE,Hoàng Dương Nguyễn,5,a year ago,"The training area is clearly divided into zones, spacious, and well-equipped. The changing rooms are large, clean, and smell nice. The personal trainers are professional, enthusiastic, and always ready to assist. The receptionist and security guard are friendly and lovely. There's no perfect 10/10, but..."
ChdDSUhNMG9nS0VJQ0FnTURJb3JiNW1BRRAB,Lê Quốc Khánh,5,a year ago,"The room was private, air-conditioned, and the consultant was very helpful."
Ci9DQUlRQUNvZENodHljRjlvT2pCelJtRkpYMXAzUm1OT1VqUlFORkJ2ZDJSMlpHYxAB,Huệ Nguyễn,5,a year ago,"The gym is clean, the equipment is new, and there are plenty of machines for everyone to use. The receptionist is nice. There are no 10/10 gyms, but..."
ChZDSUhNMG9nS0VJQ0FnSUMzbVpqV0JnEAE,Khang Bao,5,a year ago,"The gym is spacious and comfortable, the equipment is good, and the staff are enthusiastic."
Ci9DQUlRQUNvZENodHljRjlvT21wRVltZDFNWEJWWDFFNFdrSmliVzR6U1hKcmFXYxAB,Khang Hoàng,5,9 months ago,"The gym is great, and the coach is enthusiastic 🥰 …"
Ci9DQUlRQUNvZENodHljRjlvT2tWV1QwdHlUSFpKUkRsME5VazFZVzE0ZVRsRGVWRRAB,Đức Anh Vũ,5,11 months ago,"The gym is so beautiful, everyone!"
Ci9DQUlRQUNvZENodHljRjlvT2w5YWVHOUZPRXh3WkZaSlRIaHJiekpZZDI5dVVtYxAB,032_Hải Nguyễn Khắc,5,a year ago,Spacious and well-equipped
Ci9DQUlRQUNvZENodHljRjlvT21OV2FEUjBVV05rUVZJMFJsWlNUbWRPV2pKU1NIYxAB,My Nguyen Ngoc Diem,5,a year ago,"The gym is clean and airy, the staff are lovely and enthusiastic, especially Mr. Thai."
ChZDSUhNMG9nS0VJQ0FnTUNvc0l6cUtBEAE,Khanh Nguyễn,5,a year ago,"I've been training here for 3 months now. Overall, it's fun and the training space is comfortable. Ms. Phuong is enthusiastic and friendly, just like in the picture. PT Tony is great at guiding."
ChZDSUhNMG9nS0VJQ0FnTURJc05fZ0p3EAE,Phát Nguyễn,5,a year ago,The gym is clean and the staff are enthusiastic ❤️
Ci9DQUlRQUNvZENodHljRjlvT2xwQ1dVeFRjMEowV0RWYWJsWkRhVmRNTlRGSldWRRAB,khnag Hoang,5,2 months ago,Could you please tell me the price for a monthly membership?
